Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
1118.9999999999993,4.108269877497425,29767.911152034678,1.3779917249359586e6
1119.9999999999993,4.107648702326988,29765.160209159512,1.3955244675834763e6
1120.999999999999,4.109240646465655,29762.22214088486,1.4164479592176322e6
1121.999999999999,4.112055788505252,29759.757608943713,1.427699858838033e6
1122.999999999999,4.114999370425531,29758.13491369186,1.4226814601569497e6
1123.999999999999,4.117122410868463,29757.253840341767,1.4042294256342638e6
1124.999999999999,4.117823613215802,29756.766564841284,1.3797272925858863e6
1125.9999999999989,4.116990093038295,29756.230122190278,1.357944338328587e6
1126.9999999999989,4.1155445661272605,29755.265237861,1.3459326807784212e6
1127.9999999999989,4.114672622501152,29753.762522905432,1.3451447579300362e6
1128.9999999999989,4.114899534936954,29751.962907904242,1.350202765888393e6
1129.9999999999989,4.116584324705768,29750.242915283172,1.3534738935658585e6
1130.9999999999986,4.119548219801122,29748.951351049727,1.3483145395774557e6
1131.9999999999986,4.1235982524792965,29748.331043387112,1.3304739914068792e6
1132.9999999999986,4.12802686516243,29748.490623333288,1.2984758314680238e6
1133.9999999999986,4.132616945247131,29749.37981006201,1.2539455470046508e6
1134.9999999999986,4.137107249222703,29750.851487729255,1.2002376762839563e6
1135.9999999999986,4.141999171823796,29752.765147532547,1.1403493115625114e6
1136.9999999999984,4.14733177466655,29755.083320440077,1.075090138805198e6
1137.9999999999984,4.153505401564091,29757.69314495053,1.0067516105389955e6
1138.9999999999984,4.160557650432703,29760.521036952752,936765.8051628973
1139.9999999999984,4.165574774227418,29767.148825896827,841672.6067661473
1140.9999999999984,4.166370420015326,29777.39588212483,725010.7363503458
1141.9999999999982,4.162522044007662,29790.00979387624,611289.4664721565
1142.9999999999982,4.154599690026667,29804.18943010504,514796.4767659707
1200.0,4.1434859557048584,29819.62032156722,439725.15353512706
1201.0,4.135577051009602,29829.143129800195,430922.3674464047
1201.9999999999998,4.1329113031017695,29833.217290836415,477855.6002908807
1202.9999999999998,4.135464569988179,29834.031082892016,536601.3972652615
1203.9999999999998,4.141759153885518,29832.983479403534,581221.9913471511
1204.9999999999998,4.148105478436352,29830.57555537377,604410.7605958917
1205.9999999999998,4.149167713631941,29829.94202620355,593934.3249461451
1206.9999999999995,4.145326776836511,29829.8506016311,575323.739936642
1207.9999999999995,4.136592457234059,29828.54397013223,582883.715784148
1208.9999999999995,4.123618681583669,29824.98530326931,634975.8224655502
1209.9999999999995,4.1101661372449225,29818.612347593567,740050.920833801
1210.9999999999995,4.100581625286166,29809.700701573904,890061.1113324793
1211.9999999999993,4.094917688826302,29799.633310470515,1.0560243124049404e6
1212.9999999999993,4.09473109913289,29789.938125815104,1.207937230989464e6
1213.9999999999993,4.10036958809704,29781.847661109758,1.3231323101396223e6
1214.9999999999993,4.11143843425117,29776.454365512687,1.3825833607182852e6
1215.9999999999993,4.122420693822434,29774.50381260379,1.3747106079056666e6
1216.999999999999,4.132170231488416,29775.550028502872,1.3115451514679624e6
1217.999999999999,4.1388311627546335,29778.29653669314,1.2207089193979606e6
1218.999999999999,4.142036579910887,29781.614920855434,1.1247759196770166e6
1219.999999999999,4.141454416285591,29784.52341093368,1.0423227512732272e6
1220.999999999999,4.141759621825635,29786.289483854827,986273.7596796235
1221.9999999999989,4.142826834304676,29787.099720905862,951106.5449305602
1222.9999999999989,4.145306913211082,29787.698703668913,921008.374805669
1223.9999999999989,4.150789162160657,29788.494449080434,887853.381197165
1224.9999999999989,4.156857328489008,29789.61756353603,850446.6538698261
1225.9999999999989,4.162069563112975,29791.04000715432,809702.5394372445
1226.9999999999989,4.154660207356622,29806.759490165452,628061.568604352
1227.9999999999986,4.143391629954154,29822.108050746017,457218.1379925964
1300.0,4.138077225679061,29831.861988796016,399364.7385054024
1301.0,4.135872111100339,29839.63149616251,376020.10745587695
1302.0,4.146097144682168,29848.027238631028,335145.6021242441
1302.9999999999998,4.154492768469023,29843.53404828878,418933.4883905401
1303.9999999999998,4.173366960606439,29836.045771276757,558572.3690352668
